scope,dataset,family,previous_candidates,previous_tp,previous_fp,previous_precision,hard_alerts,hard_tp,hard_fp,hard_precision,standard_review,standard_tp,standard_fp,union_matches
dataset,ACSF1_normal_0,ACSF1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,ACSF1_normal_1,ACSF1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,ACSF1_normal_2,ACSF1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,ACSF1_normal_3,ACSF1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,ACSF1_normal_4,ACSF1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,ACSF1_normal_5,ACSF1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,ACSF1_normal_6,ACSF1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,ACSF1_normal_7,ACSF1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,ACSF1_normal_8,ACSF1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,ACSF1_normal_9,ACSF1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_1,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_10,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_11,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_12,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_13,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_14,Adiac,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,Adiac_normal_15,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_16,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_17,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_18,Adiac,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,Adiac_normal_19,Adiac,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,Adiac_normal_2,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_20,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_21,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_22,Adiac,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,Adiac_normal_23,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_24,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_25,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_26,Adiac,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,Adiac_normal_27,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_28,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_29,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_3,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_30,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_31,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_32,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_33,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_34,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_35,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_36,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_37,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_4,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_5,Adiac,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,Adiac_normal_6,Adiac,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,Adiac_normal_7,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_8,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Adiac_normal_9,Adiac,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteX_normal_1,AllGestureWiimoteX,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,AllGestureWiimoteX_normal_10,AllGestureWiimoteX,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,AllGestureWiimoteX_normal_2,AllGestureWiimoteX,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteX_normal_3,AllGestureWiimoteX,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteX_normal_4,AllGestureWiimoteX,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,AllGestureWiimoteX_normal_5,AllGestureWiimoteX,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,AllGestureWiimoteX_normal_6,AllGestureWiimoteX,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,AllGestureWiimoteX_normal_7,AllGestureWiimoteX,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,AllGestureWiimoteX_normal_8,AllGestureWiimoteX,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,0.0,0.0,0.0,1
dataset,AllGestureWiimoteX_normal_9,AllGestureWiimoteX,2.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1
dataset,AllGestureWiimoteY_normal_1,AllGestureWiimoteY,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,0.0,0.0,0.0,1
dataset,AllGestureWiimoteY_normal_10,AllGestureWiimoteY,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,0.0,0.0,0.0,1
dataset,AllGestureWiimoteY_normal_2,AllGestureWiimoteY,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteY_normal_3,AllGestureWiimoteY,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1
dataset,AllGestureWiimoteY_normal_4,AllGestureWiimoteY,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteY_normal_5,AllGestureWiimoteY,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteY_normal_6,AllGestureWiimoteY,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteY_normal_7,AllGestureWiimoteY,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteY_normal_8,AllGestureWiimoteY,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteY_normal_9,AllGestureWiimoteY,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
dataset,AllGestureWiimoteZ_normal_1,AllGestureWiimoteZ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,AllGestureWiimoteZ_normal_10,AllGestureWiimoteZ,2.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1
dataset,AllGestureWiimoteZ_normal_2,AllGestureWiimoteZ,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteZ_normal_3,AllGestureWiimoteZ,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,AllGestureWiimoteZ_normal_4,AllGestureWiimoteZ,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteZ_normal_5,AllGestureWiimoteZ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,AllGestureWiimoteZ_normal_6,AllGestureWiimoteZ,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteZ_normal_7,AllGestureWiimoteZ,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,0.0,0.0,0.0,1
dataset,AllGestureWiimoteZ_normal_8,AllGestureWiimoteZ,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1
dataset,AllGestureWiimoteZ_normal_9,AllGestureWiimoteZ,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,ArrowHead_normal_0,ArrowHead,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,ArrowHead_normal_1,ArrowHead,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,ArrowHead_normal_2,ArrowHead,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,BME_normal_1,BME,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,BME_normal_2,BME,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,BME_normal_3,BME,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,Beef_normal_1,Beef,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Beef_normal_2,Beef,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,Beef_normal_3,Beef,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Beef_normal_4,Beef,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,Beef_normal_5,Beef,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,BeetleFly_normal_1,BeetleFly,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,BeetleFly_normal_2,BeetleFly,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,BirdChicken_normal_1,BirdChicken,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,BirdChicken_normal_2,BirdChicken,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CBF_normal_1,CBF,6.0,6.0,0.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CBF_normal_2,CBF,4.0,4.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CBF_normal_3,CBF,4.0,4.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Car_normal_1,Car,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Car_normal_2,Car,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Car_normal_3,Car,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,Car_normal_4,Car,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,Chinatown_normal_1,Chinatown,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,Chinatown_normal_2,Chinatown,3.0,2.0,1.0,0.6666666666666666,2.0,1.0,1.0,0.5,1.0,1.0,0.0,1
dataset,ChlorineConcentration_normal_1,ChlorineConcentration,10.0,6.0,4.0,0.6,9.0,6.0,3.0,0.6666666666666666,1.0,0.0,1.0,1
dataset,ChlorineConcentration_normal_2,ChlorineConcentration,13.0,13.0,0.0,1.0,12.0,12.0,0.0,1.0,1.0,1.0,0.0,1
dataset,ChlorineConcentration_normal_3,ChlorineConcentration,11.0,11.0,0.0,1.0,10.0,10.0,0.0,1.0,1.0,1.0,0.0,1
dataset,CinCECGTorso_normal_1,CinCECGTorso,7.0,7.0,0.0,1.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CinCECGTorso_normal_2,CinCECGTorso,6.0,5.0,1.0,0.8333333333333334,5.0,5.0,0.0,1.0,1.0,0.0,1.0,1
dataset,CinCECGTorso_normal_3,CinCECGTorso,7.0,7.0,0.0,1.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CinCECGTorso_normal_4,CinCECGTorso,7.0,7.0,0.0,1.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Coffee_normal_0,Coffee,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,Coffee_normal_1,Coffee,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,Computers_normal_1,Computers,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
dataset,Computers_normal_2,Computers,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1
dataset,CricketX_normal_1,CricketX,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketX_normal_10,CricketX,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketX_normal_11,CricketX,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketX_normal_12,CricketX,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,CricketX_normal_2,CricketX,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketX_normal_3,CricketX,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketX_normal_4,CricketX,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketX_normal_5,CricketX,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketX_normal_6,CricketX,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,CricketX_normal_7,CricketX,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketX_normal_8,CricketX,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketX_normal_9,CricketX,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,CricketY_normal_1,CricketY,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,CricketY_normal_10,CricketY,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,CricketY_normal_11,CricketY,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketY_normal_12,CricketY,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketY_normal_2,CricketY,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketY_normal_3,CricketY,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketY_normal_4,CricketY,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketY_normal_5,CricketY,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketY_normal_6,CricketY,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketY_normal_7,CricketY,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketY_normal_8,CricketY,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketY_normal_9,CricketY,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
dataset,CricketZ_normal_1,CricketZ,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
dataset,CricketZ_normal_10,CricketZ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,CricketZ_normal_11,CricketZ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,CricketZ_normal_12,CricketZ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,CricketZ_normal_2,CricketZ,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketZ_normal_3,CricketZ,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketZ_normal_4,CricketZ,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
dataset,CricketZ_normal_5,CricketZ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
dataset,CricketZ_normal_6,CricketZ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
